RangeOfMotion,MotionSpeed,PostureDuration,Smoothness,JerkRMS,MeanVelocity,MaxVelocity,State,LDH_Probability,Risk
13.72,10.88,0.68,0.63,1047.27,4.77,103.15,BENDING,41.12,HIGH RISK
3.52,3.36,0.00,2.51,783.99,-1.77,20.01,BENDING,28.79,MEDIUM RISK
3.20,4.39,0.00,1.31,1183.11,-1.61,40.02,BENDING,20.15,LOW RISK
2.40,3.42,0.57,1.36,887.85,-1.21,24.38,STRAIGHT,14.11,LOW RISK
1.20,2.76,1.00,1.37,643.83,-0.60,20.00,STRAIGHT,9.87,LOW RISK
0.69,0.81,1.00,2.29,346.39,-0.34,20.00,STRAIGHT,6.91,LOW RISK
0.89,1.80,1.00,1.42,588.28,-0.31,17.84,STRAIGHT,4.84,LOW RISK
0.20,0.10,1.00,13.03,9.48,-0.10,4.00,STRAIGHT,3.39,LOW RISK
1.14,4.56,1.00,0.81,1029.59,-0.47,20.02,STRAIGHT,2.37,LOW RISK
0.49,1.85,1.00,1.16,542.41,-0.21,20.00,STRAIGHT,1.66,LOW RISK
0.20,0.39,1.00,2.37,314.27,-0.01,20.00,STRAIGHT,1.16,LOW RISK
0.86,5.42,1.00,0.62,1109.91,-0.21,20.60,STRAIGHT,0.81,LOW RISK
0.93,5.17,1.00,0.56,1089.49,-0.40,19.99,STRAIGHT,0.57,LOW RISK
0.53,0.94,1.00,1.31,444.34,-0.10,20.00,STRAIGHT,0.40,LOW RISK
0.63,1.74,1.00,0.92,586.91,-0.11,20.00,STRAIGHT,0.28,LOW RISK
0.59,6.09,1.00,0.46,1184.63,-0.27,19.92,STRAIGHT,0.20,LOW RISK
0.77,9.91,1.00,0.33,1480.95,-0.21,18.68,STRAIGHT,0.14,LOW RISK
0.52,3.76,1.00,0.49,887.84,-0.17,19.98,STRAIGHT,0.10,LOW RISK
0.21,0.30,1.00,1.94,222.44,-0.10,19.86,STRAIGHT,0.07,LOW RISK
0.41,0.70,1.00,1.14,385.04,-0.11,20.00,STRAIGHT,0.05,LOW RISK
0.40,0.90,1.00,0.99,444.56,-0.10,20.00,STRAIGHT,0.03,LOW RISK
2.67,4.35,1.00,0.33,861.26,-0.03,34.31,STRAIGHT,0.02,LOW RISK
15.90,23.53,1.00,0.24,1939.84,3.62,115.55,STRAIGHT,0.02,LOW RISK
7.52,23.86,0.17,0.38,1917.70,-1.33,97.37,BENDING,22.51,LOW RISK
6.93,44.74,0.28,0.19,2373.18,0.77,115.29,STRAIGHT,15.76,LOW RISK
6.94,35.31,1.00,0.20,2241.19,-2.31,109.21,STRAIGHT,11.03,LOW RISK
6.62,42.62,1.00,0.18,2367.78,0.07,117.83,STRAIGHT,7.72,LOW RISK
6.22,47.70,1.00,0.17,2568.35,0.62,112.87,STRAIGHT,5.40,LOW RISK
6.20,46.31,1.00,0.18,2432.05,-0.40,112.67,STRAIGHT,3.78,LOW RISK
7.73,38.77,1.00,0.21,2305.16,0.90,106.84,STRAIGHT,2.65,LOW RISK
5.60,33.71,0.04,0.26,2149.78,2.02,97.68,BENDING,24.35,MEDIUM RISK
6.74,17.62,0.00,0.56,1696.62,-1.58,54.43,BENDING,32.05,MEDIUM RISK
5.97,35.21,0.00,0.27,2049.26,1.33,106.37,BENDING,44.93,HIGH RISK
5.77,36.14,0.00,0.26,2123.44,-0.10,90.97,BENDING,53.95,HIGH RISK
5.12,36.15,0.00,0.27,2254.44,-0.72,93.64,BENDING,60.27,HIGH RISK
5.76,19.12,0.00,0.51,1756.10,-0.15,66.49,BENDING,57.19,HIGH RISK
8.73,15.71,0.00,0.57,1745.42,-0.07,70.15,BENDING,62.53,HIGH RISK
4.73,28.59,0.00,0.28,2109.72,-1.30,97.24,BENDING,66.27,HIGH RISK
5.80,28.74,0.98,0.27,1937.15,1.15,94.08,STRAIGHT,46.39,HIGH RISK
4.96,25.06,1.00,0.27,1875.06,-0.82,83.24,STRAIGHT,32.47,MEDIUM RISK
6.60,35.64,1.00,0.21,2291.50,-0.74,102.79,STRAIGHT,22.73,LOW RISK
10.46,15.69,0.75,0.50,1443.25,3.58,86.91,BENDING,38.41,MEDIUM RISK
3.23,9.74,0.00,1.27,1442.92,0.06,40.66,BENDING,34.39,MEDIUM RISK
8.84,20.89,0.00,0.71,1915.50,3.12,95.59,BENDING,46.57,HIGH RISK
7.21,19.15,0.00,0.76,1466.84,-3.55,64.15,BENDING,47.60,HIGH RISK
4.18,16.63,0.00,0.77,1358.28,-0.44,57.77,BENDING,48.32,HIGH RISK
3.28,11.62,0.00,0.91,1286.05,-1.21,48.73,BENDING,41.32,HIGH RISK
9.05,24.42,0.00,0.54,1392.23,2.55,111.67,BENDING,51.43,HIGH RISK
9.45,8.73,0.00,1.02,1374.35,-4.22,51.95,BENDING,51.00,HIGH RISK
9.80,18.35,0.00,0.57,1319.77,4.01,73.63,BENDING,58.20,HIGH RISK
6.88,28.69,0.00,0.52,1604.99,1.11,94.43,BENDING,55.74,HIGH RISK
8.12,27.32,0.00,0.57,1961.42,-0.90,93.61,BENDING,61.52,HIGH RISK
8.35,7.62,0.00,1.21,1195.11,-3.61,58.25,BENDING,50.56,HIGH RISK
3.36,6.58,0.10,0.92,1312.41,-1.63,49.74,STRAIGHT,35.39,MEDIUM RISK
10.53,19.06,0.38,0.59,1283.36,3.47,74.23,BENDING,47.28,HIGH RISK
6.30,14.66,0.00,0.77,1428.68,1.96,68.06,BENDING,40.59,HIGH RISK
9.85,23.50,0.00,0.51,1391.22,1.00,117.22,BENDING,50.92,HIGH RISK
11.66,48.72,0.00,0.39,1896.89,1.29,129.22,BENDING,65.64,HIGH RISK
9.80,46.68,0.00,0.44,1852.52,1.21,108.38,BENDING,75.95,HIGH RISK
9.93,43.21,0.00,0.48,1804.32,0.02,105.86,BENDING,83.16,HIGH RISK
11.06,37.77,0.00,0.54,1662.31,-2.89,95.27,BENDING,80.71,HIGH RISK
10.58,19.18,0.00,0.64,1309.86,-3.79,79.03,BENDING,79.00,HIGH RISK
8.05,36.81,0.00,0.30,2240.47,1.95,166.87,BENDING,85.30,HIGH RISK
13.83,33.31,0.00,0.33,1893.73,-0.77,146.46,BENDING,89.71,HIGH RISK
9.06,25.86,0.00,0.46,1396.46,3.29,91.73,BENDING,92.80,HIGH RISK
7.47,22.67,0.00,0.63,1556.27,-2.16,64.02,BENDING,79.96,HIGH RISK
4.73,17.23,0.00,0.71,1299.06,-0.43,67.19,BENDING,70.97,HIGH RISK
5.12,17.95,0.00,0.75,1516.42,-1.19,65.96,BENDING,64.68,HIGH RISK
4.09,16.07,0.00,0.79,1630.57,1.48,68.58,BENDING,60.28,HIGH RISK
7.58,5.67,0.00,1.36,1116.03,-3.81,40.02,BENDING,42.19,HIGH RISK
2.21,4.88,0.50,1.22,1016.77,-1.11,20.75,STRAIGHT,29.54,MEDIUM RISK
12.97,8.15,0.90,0.51,1461.08,6.42,170.28,BENDING,35.67,MEDIUM RISK
4.18,4.62,0.00,2.53,964.65,-2.10,29.74,BENDING,24.97,MEDIUM RISK
1.40,2.70,0.00,3.02,752.38,-0.65,20.02,BENDING,17.48,LOW RISK
1.39,4.16,0.00,2.25,1006.05,-0.50,20.00,BENDING,12.24,LOW RISK
1.16,4.40,0.00,2.05,1030.28,-0.47,20.00,BENDING,8.57,LOW RISK
0.97,6.60,0.00,1.56,1238.22,-0.41,19.94,BENDING,13.50,LOW RISK
0.35,0.17,0.00,16.32,16.37,-0.17,6.91,BENDING,9.45,LOW RISK
0.62,1.38,0.00,3.26,606.61,-0.26,20.67,BENDING,6.61,LOW RISK
0.84,7.13,0.00,1.40,1204.55,-0.37,19.97,BENDING,12.13,LOW RISK
0.33,0.47,0.00,5.79,314.71,-0.10,19.96,BENDING,8.49,LOW RISK
1.25,5.82,0.00,1.03,1805.84,-0.63,40.00,BENDING,13.44,LOW RISK
1.59,5.64,0.00,0.93,1633.51,-0.64,40.00,BENDING,16.91,LOW RISK
0.47,0.23,0.69,9.29,22.13,-0.23,9.34,STRAIGHT,11.84,LOW RISK
0.61,1.00,1.00,3.20,444.87,-0.20,20.06,STRAIGHT,8.29,LOW RISK
0.90,7.00,1.00,1.09,1244.61,-0.22,20.00,STRAIGHT,5.80,LOW RISK
1.30,7.21,1.00,0.89,1385.18,-0.42,28.49,STRAIGHT,4.06,LOW RISK
1.21,8.53,1.00,0.87,1455.88,-0.24,25.04,STRAIGHT,2.84,LOW RISK
0.78,6.18,1.00,1.00,1131.95,-0.31,20.00,STRAIGHT,1.99,LOW RISK
0.23,1.31,1.00,2.19,544.51,-0.12,20.00,STRAIGHT,1.39,LOW RISK
0.20,0.10,1.00,17.36,9.48,-0.10,4.00,STRAIGHT,0.97,LOW RISK
0.20,0.10,1.00,17.36,9.48,-0.10,4.00,STRAIGHT,0.68,LOW RISK
0.20,0.10,1.00,17.36,9.48,-0.10,4.00,STRAIGHT,0.48,LOW RISK
0.00,0.00,1.00,0.00,0.00,0.00,0.00,STRAIGHT,0.33,LOW RISK
0.41,1.64,1.00,1.85,628.27,-0.02,20.00,STRAIGHT,0.23,LOW RISK
0.86,4.82,1.00,1.06,1028.70,-0.37,19.99,STRAIGHT,0.16,LOW RISK
0.78,9.34,1.00,0.73,1464.99,-0.04,18.57,STRAIGHT,0.11,LOW RISK
0.65,3.30,1.00,1.20,875.58,-0.22,19.98,STRAIGHT,0.08,LOW RISK
0.43,1.14,1.00,2.06,545.28,-0.10,20.00,STRAIGHT,0.06,LOW RISK
0.20,0.10,1.00,15.19,9.48,-0.10,4.00,STRAIGHT,0.04,LOW RISK
0.20,0.30,1.00,4.49,222.42,-0.10,20.00,STRAIGHT,0.03,LOW RISK
0.20,0.10,1.00,15.19,9.48,-0.10,4.00,STRAIGHT,0.02,LOW RISK
1.20,1.79,1.00,1.53,537.80,-0.50,20.00,STRAIGHT,0.01,LOW RISK
0.81,0.72,1.00,2.71,221.80,0.32,16.13,STRAIGHT,0.01,LOW RISK
0.20,0.10,1.00,15.19,9.48,-0.10,4.00,STRAIGHT,0.01,LOW RISK
0.58,2.29,1.00,1.37,751.66,-0.25,20.00,STRAIGHT,0.00,LOW RISK
0.90,7.70,1.00,0.69,1181.83,-0.32,19.96,STRAIGHT,0.00,LOW RISK
0.31,0.75,1.00,2.25,385.17,-0.14,20.00,STRAIGHT,0.00,LOW RISK
0.22,0.11,1.00,12.00,10.29,-0.11,4.34,STRAIGHT,0.00,LOW RISK
0.67,1.34,1.00,1.56,440.63,0.04,20.00,STRAIGHT,0.00,LOW RISK
10.59,13.01,0.69,0.74,1152.56,3.52,68.94,BENDING,7.50,LOW RISK
7.01,9.58,0.00,0.87,1310.86,1.75,59.30,BENDING,12.75,LOW RISK
4.92,8.30,0.00,1.42,1179.45,-1.53,35.73,BENDING,8.93,LOW RISK
8.62,27.05,0.00,0.39,2006.52,1.35,111.71,BENDING,36.25,MEDIUM RISK
4.91,17.56,0.00,0.70,1688.48,-1.78,86.38,BENDING,40.37,HIGH RISK
4.14,17.82,0.00,0.56,2306.40,-1.46,80.85,BENDING,43.26,HIGH RISK
5.14,24.64,0.00,0.40,1946.14,1.59,68.45,BENDING,52.78,HIGH RISK
6.77,27.86,0.00,0.34,2279.83,-2.69,79.51,BENDING,59.45,HIGH RISK
6.63,37.99,0.00,0.23,2139.81,0.01,120.95,BENDING,64.11,HIGH RISK
11.82,49.03,0.31,0.18,2507.87,3.32,146.76,BENDING,74.88,HIGH RISK
10.04,54.34,0.00,0.18,2361.09,0.22,132.69,BENDING,82.42,HIGH RISK
8.22,26.13,0.00,0.41,1811.32,-1.56,116.55,BENDING,87.69,HIGH RISK
6.36,30.01,0.00,0.37,2160.09,-2.14,72.41,BENDING,83.88,HIGH RISK
5.92,33.10,0.00,0.29,2021.42,-0.31,81.64,BENDING,81.22,HIGH RISK
6.03,32.96,0.00,0.28,2185.63,0.43,97.31,BENDING,79.35,HIGH RISK
5.18,20.01,0.62,0.35,1854.96,-1.03,73.45,STRAIGHT,55.55,HIGH RISK
6.44,21.35,0.96,0.36,2071.71,0.92,82.59,BENDING,61.38,HIGH RISK
14.74,22.85,0.08,0.44,1736.50,6.18,90.70,BENDING,72.97,HIGH RISK
7.03,5.09,0.00,2.42,922.46,-3.53,33.24,BENDING,51.08,HIGH RISK
2.25,3.61,0.00,2.24,888.11,-1.13,20.02,BENDING,35.75,MEDIUM RISK
2.76,6.67,0.00,1.11,1590.67,-1.23,40.00,BENDING,32.53,MEDIUM RISK
1.96,3.51,0.10,1.50,930.83,-0.92,39.85,STRAIGHT,22.77,LOW RISK
1.34,2.78,1.00,1.40,716.45,-0.68,26.73,STRAIGHT,15.94,LOW RISK
1.20,4.08,1.00,1.16,928.27,-0.60,20.00,STRAIGHT,11.16,LOW RISK
0.20,0.10,1.00,14.92,9.65,-0.10,4.07,STRAIGHT,7.81,LOW RISK
0.64,3.25,1.00,1.14,888.34,-0.11,20.00,STRAIGHT,5.47,LOW RISK
0.94,5.03,1.00,0.84,1053.02,-0.42,19.91,STRAIGHT,3.83,LOW RISK
0.20,0.30,1.00,3.85,222.42,-0.10,20.00,STRAIGHT,2.68,LOW RISK
0.20,0.10,1.00,13.03,9.48,-0.10,4.00,STRAIGHT,1.88,LOW RISK
0.40,0.29,1.00,3.85,222.42,-0.11,20.00,STRAIGHT,1.31,LOW RISK
0.97,5.70,1.00,0.72,1164.57,-0.37,20.00,STRAIGHT,0.92,LOW RISK
0.73,7.50,1.00,0.58,1293.86,0.08,19.88,STRAIGHT,0.64,LOW RISK
0.66,1.39,1.00,1.35,497.52,-0.32,20.00,STRAIGHT,0.45,LOW RISK
0.40,0.29,1.00,3.20,222.42,-0.11,20.00,STRAIGHT,0.32,LOW RISK
0.39,0.26,1.00,3.24,222.37,-0.13,20.00,STRAIGHT,0.22,LOW RISK
0.35,1.08,1.00,1.49,496.96,-0.07,20.00,STRAIGHT,0.15,LOW RISK
1.10,8.80,1.00,0.46,1339.16,-0.50,23.20,STRAIGHT,0.11,LOW RISK
0.89,7.91,1.00,0.46,1350.72,-0.18,25.05,STRAIGHT,0.08,LOW RISK
0.21,0.42,1.00,1.88,314.28,-0.02,20.00,STRAIGHT,0.05,LOW RISK
0.53,0.94,1.00,1.30,444.67,-0.17,20.67,STRAIGHT,0.04,LOW RISK
0.87,3.44,1.00,0.63,942.67,-0.32,20.00,STRAIGHT,0.03,LOW RISK
0.86,7.37,1.00,0.41,1234.55,-0.01,19.95,STRAIGHT,0.02,LOW RISK
0.88,9.55,1.00,0.35,1481.66,-0.07,19.25,STRAIGHT,0.01,LOW RISK
0.81,9.78,1.00,0.34,1539.28,-0.01,18.26,STRAIGHT,0.01,LOW RISK
0.88,9.81,1.00,0.33,1539.64,-0.12,19.06,STRAIGHT,0.01,LOW RISK
13.18,11.33,0.88,0.77,1246.23,4.67,55.34,BENDING,15.00,LOW RISK
2.52,9.14,0.00,0.99,1752.48,-0.50,53.39,BENDING,18.00,LOW RISK
5.42,24.10,0.00,0.38,1834.08,-0.28,63.41,BENDING,35.10,MEDIUM RISK
6.61,26.68,0.00,0.36,1861.31,0.68,80.42,BENDING,47.07,HIGH RISK
7.19,38.08,0.00,0.25,1994.73,-1.77,96.39,BENDING,55.45,HIGH RISK
7.69,44.79,0.26,0.19,2453.07,0.89,116.55,STRAIGHT,38.82,MEDIUM RISK
4.69,4.68,1.00,0.69,865.32,-2.27,47.49,STRAIGHT,27.17,MEDIUM RISK
0.56,1.42,1.00,1.49,606.54,-0.24,20.00,STRAIGHT,19.02,LOW RISK
1.67,7.11,1.00,0.58,1264.86,-0.29,20.96,STRAIGHT,13.31,LOW RISK
8.89,10.06,1.00,0.46,1522.12,3.41,81.87,STRAIGHT,9.32,LOW RISK
4.43,11.87,0.47,0.73,2229.56,0.71,48.86,BENDING,14.02,LOW RISK
7.36,13.17,0.00,0.83,1200.94,1.58,71.37,BENDING,17.32,LOW RISK
5.46,14.44,0.00,0.90,1222.31,-2.09,51.06,BENDING,19.62,LOW RISK
3.42,12.88,0.00,0.88,1068.19,0.55,43.94,BENDING,13.74,LOW RISK
4.10,14.98,0.00,0.82,1362.48,0.58,61.82,BENDING,17.11,LOW RISK
2.92,9.64,0.00,1.21,1206.41,-0.55,48.03,BENDING,19.48,LOW RISK
6.79,11.63,0.00,0.86,1082.25,2.13,63.85,BENDING,13.64,LOW RISK
7.17,10.36,0.00,0.93,1094.20,-1.45,53.66,BENDING,9.55,LOW RISK
8.39,25.21,0.00,0.64,1550.02,2.20,83.99,BENDING,29.18,MEDIUM RISK
10.88,24.00,0.00,0.63,1405.87,-2.39,80.60,BENDING,42.93,HIGH RISK
12.79,20.81,0.00,0.52,1302.88,2.94,84.65,BENDING,52.55,HIGH RISK
7.91,25.54,0.00,0.52,1382.98,-2.82,89.90,BENDING,51.78,HIGH RISK
9.59,27.39,0.00,0.52,1252.47,-0.77,79.20,BENDING,58.75,HIGH RISK
7.46,29.04,0.00,0.47,1373.04,0.46,80.00,BENDING,63.62,HIGH RISK
6.48,28.21,0.00,0.46,1304.37,-1.00,77.62,BENDING,67.04,HIGH RISK
5.31,27.09,0.00,0.45,1267.14,0.34,64.94,BENDING,69.43,HIGH RISK
6.10,25.39,0.00,0.46,1354.97,0.15,71.45,BENDING,71.10,HIGH RISK
6.82,25.84,0.00,0.49,1202.81,-0.89,74.52,BENDING,72.27,HIGH RISK
7.87,27.10,0.00,0.45,1438.97,1.33,85.31,BENDING,73.09,HIGH RISK
7.55,17.05,0.00,0.56,1128.87,-1.70,80.64,BENDING,58.66,HIGH RISK
4.88,4.30,0.31,1.18,849.20,-2.45,37.63,STRAIGHT,41.06,HIGH RISK
1.20,2.31,1.00,1.32,719.75,-0.60,20.00,STRAIGHT,28.74,MEDIUM RISK
1.00,2.03,1.00,1.16,684.45,-0.50,20.00,STRAIGHT,20.12,LOW RISK
1.20,4.40,1.00,0.67,954.16,-0.60,20.00,STRAIGHT,14.08,LOW RISK
0.99,6.53,1.00,0.44,1226.08,-0.43,20.00,STRAIGHT,9.86,LOW RISK
0.73,4.60,1.00,0.45,1005.88,-0.24,19.88,STRAIGHT,6.90,LOW RISK
0.62,2.08,1.00,0.61,665.01,-0.27,20.00,STRAIGHT,4.83,LOW RISK
0.55,5.85,1.00,0.35,1142.08,-0.11,19.98,STRAIGHT,3.38,LOW RISK
0.78,6.85,1.00,0.26,1296.69,-0.30,19.74,STRAIGHT,2.37,LOW RISK
0.36,0.83,1.00,0.70,384.07,-0.10,20.00,STRAIGHT,1.66,LOW RISK
0.24,0.69,1.00,0.78,385.11,-0.10,20.00,STRAIGHT,1.16,LOW RISK
0.40,0.65,1.00,0.77,384.97,-0.15,20.00,STRAIGHT,0.81,LOW RISK
0.76,4.71,1.00,0.26,990.82,-0.32,20.25,STRAIGHT,0.57,LOW RISK
2.96,5.79,1.00,0.24,962.50,1.19,23.37,STRAIGHT,0.40,LOW RISK
1.98,6.50,1.00,0.37,1106.83,-0.98,23.05,STRAIGHT,0.28,LOW RISK
4.83,9.21,1.00,0.32,1071.69,0.48,33.61,STRAIGHT,0.19,LOW RISK
15.63,45.46,0.74,0.23,1638.39,6.92,110.59,BENDING,30.14,MEDIUM RISK
7.98,31.24,0.00,0.40,1548.24,0.24,86.56,BENDING,43.60,HIGH RISK
8.53,33.21,0.00,0.42,1405.59,-2.64,86.62,BENDING,60.52,HIGH RISK
9.07,36.92,0.00,0.37,1527.35,-0.12,110.74,BENDING,72.36,HIGH RISK
9.32,37.57,0.00,0.39,1606.23,0.27,94.17,BENDING,80.65,HIGH RISK
9.67,19.97,0.00,0.58,1454.24,0.04,96.54,BENDING,78.96,HIGH RISK
1.94,6.55,0.00,1.25,1529.87,-0.81,71.96,BENDING,62.77,HIGH RISK
1.38,7.51,0.00,1.39,1350.59,-0.29,23.07,BENDING,51.44,HIGH RISK
2.19,12.61,0.00,0.71,2149.71,-0.68,49.69,BENDING,43.51,HIGH RISK
8.10,16.63,0.00,0.58,2231.16,2.43,55.87,BENDING,52.96,HIGH RISK
8.81,6.23,0.00,1.13,884.29,-4.24,40.03,BENDING,44.57,HIGH RISK
1.55,4.28,0.95,1.11,675.15,-0.60,21.31,STRAIGHT,31.20,MEDIUM RISK
1.26,2.25,1.00,1.42,625.65,-0.00,20.14,STRAIGHT,21.84,LOW RISK
2.07,2.93,1.00,1.08,680.97,-0.56,20.28,STRAIGHT,15.29,LOW RISK
3.71,4.09,1.00,1.11,825.26,0.87,24.69,STRAIGHT,10.70,LOW RISK
1.00,4.36,1.00,1.08,980.05,-0.50,20.00,STRAIGHT,7.49,LOW RISK
2.52,3.28,1.00,1.15,750.31,-0.62,20.35,STRAIGHT,5.24,LOW RISK
1.94,4.07,1.00,0.87,842.38,-0.49,20.01,STRAIGHT,3.67,LOW RISK
1.53,3.68,1.00,0.71,784.69,0.01,20.18,STRAIGHT,2.57,LOW RISK
2.23,4.01,1.00,0.53,984.46,-1.10,24.56,STRAIGHT,1.80,LOW RISK
1.11,3.33,1.00,0.51,829.86,-0.20,20.22,STRAIGHT,1.26,LOW RISK
0.95,7.02,1.00,0.27,1324.37,-0.41,20.00,STRAIGHT,0.88,LOW RISK
0.53,3.90,1.00,0.33,968.84,-0.13,19.91,STRAIGHT,0.62,LOW RISK
0.30,0.28,1.00,1.37,222.75,-0.10,17.44,STRAIGHT,0.43,LOW RISK
1.03,7.84,1.00,0.18,1293.29,-0.24,21.64,STRAIGHT,0.30,LOW RISK
0.63,4.38,1.00,0.26,952.10,-0.16,20.00,STRAIGHT,0.21,LOW RISK
0.96,8.92,1.00,0.15,1500.49,0.13,19.35,STRAIGHT,0.15,LOW RISK
2.86,5.42,1.00,0.43,950.05,1.31,22.44,STRAIGHT,0.10,LOW RISK
1.89,5.55,1.00,0.48,1122.61,-0.92,20.78,STRAIGHT,0.07,LOW RISK
1.00,3.77,1.00,0.45,928.80,-0.49,20.00,STRAIGHT,0.05,LOW RISK
0.50,1.51,1.00,0.52,588.63,-0.19,20.00,STRAIGHT,0.04,LOW RISK
0.78,2.38,1.00,0.39,770.30,-0.11,20.00,STRAIGHT,0.02,LOW RISK
0.90,9.05,1.00,0.15,1532.23,-0.38,19.89,STRAIGHT,0.02,LOW RISK
0.52,3.97,1.00,0.17,1019.71,-0.19,19.78,STRAIGHT,0.01,LOW RISK
0.86,5.87,1.00,0.10,1277.68,-0.33,20.18,STRAIGHT,0.01,LOW RISK
0.83,7.38,1.00,0.03,1361.56,-0.29,19.92,STRAIGHT,0.01,LOW RISK
0.63,3.39,1.00,0.02,830.04,-0.13,19.99,STRAIGHT,0.00,LOW RISK
0.60,0.90,1.00,-0.00,628.62,-0.10,40.00,STRAIGHT,0.00,LOW RISK
19.87,15.39,1.00,0.04,1394.95,9.26,189.71,STRAIGHT,0.00,LOW RISK
9.34,46.04,0.63,0.27,1845.47,-3.24,110.93,BENDING,30.00,MEDIUM RISK
10.58,31.97,0.00,0.29,1459.37,-0.30,84.81,BENDING,51.00,HIGH RISK
6.40,29.88,0.36,0.28,1472.90,-0.47,74.96,STRAIGHT,35.70,MEDIUM RISK
12.49,22.43,0.02,0.55,1225.80,2.94,91.46,BENDING,47.49,HIGH RISK
11.58,40.64,0.00,0.43,1571.10,1.97,119.67,BENDING,63.24,HIGH RISK
15.89,37.49,0.00,0.52,1385.81,-1.55,118.50,BENDING,66.77,HIGH RISK
17.74,43.00,0.00,0.51,1490.73,5.42,104.88,BENDING,69.24,HIGH RISK
14.02,29.26,0.00,0.67,1187.60,-2.90,98.66,BENDING,63.47,HIGH RISK
9.61,20.72,0.00,0.77,1166.09,-2.14,78.31,BENDING,59.43,HIGH RISK
14.72,42.84,0.00,0.48,1448.80,3.99,127.89,BENDING,71.60,HIGH RISK
10.36,24.72,0.00,0.54,1461.94,-3.08,135.59,BENDING,72.62,HIGH RISK
11.51,65.44,0.00,0.29,2857.01,-0.37,162.96,BENDING,80.83,HIGH RISK
11.94,80.75,0.00,0.28,2983.64,5.13,179.41,BENDING,86.58,HIGH RISK
10.66,71.15,0.00,0.33,2674.77,-1.33,156.27,BENDING,90.61,HIGH RISK
11.63,8.82,0.00,0.98,1261.60,-5.85,110.01,BENDING,78.43,HIGH RISK
1.95,3.50,0.00,2.57,814.52,-0.69,20.40,BENDING,54.90,HIGH RISK
2.00,4.41,0.00,1.99,826.08,-1.01,20.06,BENDING,38.43,MEDIUM RISK
3.19,5.63,0.00,1.55,830.74,0.41,38.07,BENDING,26.90,MEDIUM RISK
4.41,4.92,0.00,1.35,1185.25,-2.18,40.02,BENDING,18.83,LOW RISK
2.87,4.29,0.55,1.18,1029.38,-1.40,23.64,STRAIGHT,13.18,LOW RISK
1.23,1.75,1.00,1.59,626.72,-0.42,20.00,STRAIGHT,9.23,LOW RISK
0.59,1.02,1.00,1.92,384.88,-0.29,17.60,STRAIGHT,6.46,LOW RISK
1.08,3.45,1.00,0.94,844.17,-0.46,20.00,STRAIGHT,4.52,LOW RISK
0.51,2.17,1.00,1.07,738.25,-0.21,20.00,STRAIGHT,3.16,LOW RISK
0.36,0.89,1.00,1.57,443.82,-0.01,20.00,STRAIGHT,2.22,LOW RISK
0.98,5.04,1.00,0.58,1090.36,-0.49,20.00,STRAIGHT,1.55,LOW RISK
0.40,0.65,1.00,1.53,384.97,-0.15,20.00,STRAIGHT,1.09,LOW RISK
0.74,6.21,1.00,0.45,1175.03,-0.14,19.99,STRAIGHT,0.76,LOW RISK
1.59,9.39,1.00,0.34,1410.89,-0.15,23.31,STRAIGHT,0.53,LOW RISK
2.42,7.33,1.00,0.35,1137.84,0.14,26.49,STRAIGHT,0.37,LOW RISK
3.00,5.33,1.00,0.57,976.36,-0.53,24.39,STRAIGHT,0.26,LOW RISK
5.13,8.44,1.00,0.38,1014.40,1.46,61.19,STRAIGHT,0.18,LOW RISK
13.03,25.56,1.00,0.18,1437.58,1.21,112.16,STRAIGHT,0.13,LOW RISK
20.04,54.01,0.28,0.26,1817.80,2.91,153.34,BENDING,30.09,MEDIUM RISK
25.71,47.25,0.00,0.35,2300.25,1.59,254.23,BENDING,51.06,HIGH RISK
21.23,31.28,0.00,0.43,1445.31,7.39,129.41,BENDING,65.74,HIGH RISK
22.39,48.61,0.00,0.41,1618.26,-3.74,130.37,BENDING,76.02,HIGH RISK
21.54,45.22,0.00,0.49,1555.45,-2.28,103.57,BENDING,83.21,HIGH RISK
19.28,35.70,0.00,0.54,1367.90,-0.79,114.65,BENDING,80.75,HIGH RISK
7.38,14.41,0.00,0.85,1547.14,-0.11,163.95,BENDING,64.03,HIGH RISK
15.76,32.85,0.00,0.36,2067.65,0.25,207.39,BENDING,74.82,HIGH RISK
14.53,29.32,0.00,0.44,1324.66,3.85,127.47,BENDING,82.37,HIGH RISK
22.13,56.36,0.00,0.36,1566.45,-4.10,143.48,BENDING,87.66,HIGH RISK
17.65,42.21,0.00,0.43,1343.14,1.53,132.23,BENDING,91.36,HIGH RISK
17.87,47.77,0.00,0.41,1341.39,-0.62,120.08,BENDING,93.95,HIGH RISK
14.20,25.59,0.00,0.46,1271.43,-2.05,121.43,BENDING,95.77,HIGH RISK
16.08,54.58,0.00,0.31,2079.25,2.17,164.64,BENDING,97.04,HIGH RISK
13.98,44.93,0.00,0.28,1758.17,-0.66,141.55,BENDING,97.93,HIGH RISK
14.15,46.41,0.00,0.29,1742.51,-1.66,140.57,BENDING,98.55,HIGH RISK
18.71,80.61,0.00,0.22,2568.27,0.97,191.42,BENDING,98.98,HIGH RISK
13.29,49.01,0.00,0.29,2154.94,-2.03,167.95,BENDING,99.29,HIGH RISK
22.23,90.36,0.00,0.27,3013.79,5.39,211.83,BENDING,99.50,HIGH RISK
13.56,49.96,0.00,0.29,2125.74,0.16,198.78,BENDING,99.65,HIGH RISK
