Mean,Standard deviation,Max,Min,RMS,Energy,Peak-to-peak,Zero-crossing rate,label
73.482,4.047,83.206,63.73,73.593,5416.003,19.476,0.37,BENDING
36.022,4.138,45.819,28.024,36.259,1314.725,17.796,0.126,STRAIGHT
28.28,3.248,35.619,20.352,28.466,810.336,15.267,0.299,STRAIGHT
40.442,5.338,56.75,25.846,40.793,1664.053,30.904,0.339,RETURNING
83.158,7.97,102.221,66.705,83.539,6978.745,35.516,0.283,BENDING
78.015,7.011,94.214,62.79,78.329,6135.431,31.424,0.142,BENDING
78.548,6.239,92.145,67.356,78.796,6208.748,24.789,0.205,BENDING
32.737,2.394,36.838,26.976,32.825,1077.449,9.863,0.118,STRAIGHT
95.631,8.812,113.884,79.5,96.036,9222.94,34.384,0.134,BENDING
88.276,7.616,105.415,73.437,88.604,7850.601,31.978,0.173,BENDING
53.149,3.704,63.18,45.231,53.278,2838.51,17.949,0.339,RETURNING
22.467,2.855,33.124,14.697,22.648,512.933,18.427,0.409,STRAIGHT
29.662,3.354,37.654,22.776,29.851,891.076,14.878,0.22,STRAIGHT
79.528,6.626,92.488,65.464,79.803,6368.567,27.024,0.102,BENDING
71.534,6.859,87.253,58.982,71.863,5164.225,28.271,0.213,BENDING
81.96,4.798,94.5,73.518,82.1,6740.394,20.982,0.118,BENDING
26.363,3.576,36.597,18.695,26.604,707.775,17.902,0.205,STRAIGHT
78.849,5.132,93.466,66.791,79.015,6243.442,26.675,0.276,BENDING
49.61,5.845,61.438,38.563,49.954,2495.362,22.875,0.094,RETURNING
32.599,3.674,42.531,24.992,32.806,1076.218,17.539,0.118,STRAIGHT
75.319,7.84,93.767,53.184,75.726,5734.388,40.583,0.268,BENDING
39.445,3.673,48.964,33.129,39.615,1569.364,15.835,0.173,STRAIGHT
42.834,4.874,52.871,31.118,43.111,1858.517,21.753,0.165,STRAIGHT
44.593,5.53,56.59,33.217,44.935,2019.147,23.373,0.102,RETURNING
64.315,3.363,72.171,56.68,64.403,4147.732,15.491,0.197,RETURNING
41.264,6.569,59.663,26.461,41.784,1745.865,33.202,0.339,RETURNING
27.453,4.025,34.836,18.333,27.747,769.893,16.503,0.205,STRAIGHT
96.918,4.493,106.21,85.563,97.022,9413.234,20.647,0.268,BENDING
75.476,4.496,91.699,66.553,75.609,5716.784,25.146,0.165,BENDING
87.032,6.395,99.863,74.444,87.266,7615.39,25.42,0.197,BENDING
94.041,4.491,107.959,82.868,94.148,8863.919,25.091,0.394,BENDING
26.328,3.509,34.016,19.187,26.561,705.502,14.829,0.157,STRAIGHT
25.75,3.718,34.252,18.822,26.017,676.88,15.43,0.346,STRAIGHT
75.296,7.905,91.427,60.742,75.71,5732.005,30.685,0.087,BENDING
72.812,6.201,87.167,58.688,73.075,5340.006,28.479,0.244,BENDING
53.628,6.397,69.133,39.611,54.008,2916.882,29.522,0.236,RETURNING
33.514,3.848,41.387,20.543,33.734,1138.004,20.843,0.299,STRAIGHT
80.878,5.826,94.675,65.427,81.087,6575.145,29.249,0.134,BENDING
43.059,5.168,54.068,32.862,43.368,1880.778,21.206,0.079,RETURNING
58.756,4.716,69.399,47.95,58.945,3474.569,21.449,0.213,RETURNING
31.209,4.008,40.708,21.748,31.465,990.042,18.96,0.228,STRAIGHT
27.735,4.503,38.193,19.859,28.098,789.515,18.334,0.126,STRAIGHT
58.753,5.229,69.662,48.093,58.985,3479.257,21.569,0.102,RETURNING
73.479,4.106,82.569,63.79,73.594,5416.095,18.779,0.307,BENDING
86.081,4.451,93.479,74.051,86.196,7429.671,19.427,0.205,BENDING
88.97,6.474,104.476,77.764,89.205,7957.588,26.712,0.118,BENDING
55.695,4.476,66.549,44.452,55.875,3122.0,22.097,0.409,RETURNING
32.052,3.128,39.552,24.503,32.204,1037.124,15.049,0.299,STRAIGHT
27.31,2.813,34.654,21.421,27.455,753.765,13.234,0.402,STRAIGHT
18.74,3.362,26.897,11.857,19.039,362.475,15.04,0.394,STRAIGHT
20.092,4.179,29.673,12.121,20.522,421.156,17.551,0.228,STRAIGHT
26.432,1.681,30.975,22.503,26.485,701.465,8.472,0.276,STRAIGHT
60.856,3.37,68.549,51.664,60.949,3714.768,16.886,0.252,RETURNING
28.568,3.258,35.972,21.779,28.753,826.742,14.192,0.079,STRAIGHT
57.54,4.853,67.628,49.019,57.744,3334.39,18.609,0.134,RETURNING
80.141,5.892,92.259,65.61,80.357,6457.226,26.649,0.213,BENDING
19.291,3.052,27.858,13.422,19.531,381.45,14.436,0.205,STRAIGHT
21.582,3.334,28.068,12.576,21.838,476.908,15.492,0.244,STRAIGHT
93.215,8.125,110.708,75.779,93.569,8755.11,34.93,0.157,BENDING
57.624,4.784,68.33,45.992,57.823,3343.469,22.339,0.228,RETURNING
76.033,6.01,89.787,62.575,76.27,5817.082,27.211,0.244,BENDING
55.83,4.571,67.103,43.302,56.017,3137.877,23.801,0.323,RETURNING
38.564,2.913,45.094,31.197,38.674,1495.694,13.897,0.362,STRAIGHT
82.784,5.134,92.521,70.403,82.943,6879.502,22.118,0.157,BENDING
45.946,4.485,56.954,35.379,46.164,2131.159,21.575,0.417,RETURNING
57.987,4.114,65.617,47.879,58.133,3379.464,17.739,0.11,RETURNING
24.523,3.663,33.317,17.379,24.795,614.805,15.938,0.142,STRAIGHT
68.997,7.032,82.339,50.36,69.354,4810.043,31.979,0.094,BENDING
77.347,7.444,90.994,66.528,77.704,6037.983,24.466,0.079,BENDING
42.938,6.389,60.728,34.415,43.411,1884.477,26.313,0.11,RETURNING
48.336,3.102,54.547,40.49,48.435,2345.977,14.057,0.283,RETURNING
22.166,2.024,27.16,17.019,22.258,495.433,10.141,0.346,STRAIGHT
65.454,7.398,81.005,50.292,65.87,4338.913,30.713,0.165,BENDING
78.042,6.574,93.891,63.285,78.318,6133.719,30.606,0.126,BENDING
48.704,4.659,59.93,35.236,48.927,2393.81,24.694,0.315,RETURNING
67.361,3.681,74.487,58.595,67.462,4551.118,15.892,0.205,RETURNING
38.556,4.562,51.368,28.671,38.825,1507.394,22.697,0.354,RETURNING
51.217,3.226,61.438,44.038,51.319,2633.641,17.4,0.244,RETURNING
26.923,3.104,33.753,17.557,27.101,734.484,16.196,0.276,STRAIGHT
87.417,4.66,98.327,75.048,87.541,7663.378,23.28,0.472,BENDING
76.819,6.238,92.643,62.678,77.071,5940.005,29.964,0.252,BENDING
19.955,4.197,27.595,11.175,20.391,415.81,16.42,0.126,STRAIGHT
10.189,2.3,15.474,2.523,10.445,109.097,12.951,0.417,STRAIGHT
16.877,4.458,27.907,7.573,17.456,304.698,20.334,0.244,STRAIGHT
17.833,4.395,25.949,8.27,18.367,337.349,17.68,0.165,STRAIGHT
28.521,3.365,36.462,21.234,28.719,824.796,15.228,0.118,STRAIGHT
30.559,3.475,38.536,21.217,30.756,945.958,17.319,0.197,STRAIGHT
46.774,3.158,53.734,39.45,46.88,2197.746,14.284,0.244,RETURNING
45.892,4.655,55.068,37.245,46.128,2127.76,17.823,0.118,RETURNING
27.54,4.083,35.398,17.929,27.841,775.111,17.469,0.165,STRAIGHT
25.45,2.178,31.303,20.534,25.543,652.423,10.769,0.268,STRAIGHT
84.68,4.631,95.721,72.549,84.807,7192.168,23.172,0.134,BENDING
32.455,2.832,37.295,26.388,32.578,1061.338,10.907,0.063,STRAIGHT
52.281,4.236,60.916,41.524,52.452,2751.22,19.392,0.22,RETURNING
78.403,7.409,95.485,63.184,78.752,6201.908,32.3,0.157,BENDING
85.727,4.734,95.776,77.398,85.857,7371.465,18.378,0.11,BENDING
34.911,2.013,39.671,29.094,34.969,1222.826,10.578,0.339,STRAIGHT
67.481,6.631,82.006,54.589,67.806,4597.664,27.417,0.11,BENDING
33.587,3.392,42.041,26.425,33.758,1139.624,15.616,0.236,STRAIGHT
64.898,6.61,81.324,50.524,65.234,4255.48,30.8,0.252,RETURNING
31.909,3.965,42.297,24.556,32.154,1033.883,17.742,0.205,STRAIGHT
27.473,3.073,35.033,20.765,27.645,764.225,14.268,0.315,STRAIGHT
87.029,6.63,101.526,72.159,87.281,7617.997,29.366,0.157,BENDING
25.038,2.012,30.528,20.397,25.118,630.937,10.131,0.488,STRAIGHT
44.337,7.073,59.136,29.4,44.898,2015.8,29.736,0.157,RETURNING
81.115,6.205,92.799,68.007,81.352,6618.074,24.793,0.11,BENDING
51.465,5.532,63.495,38.753,51.761,2679.203,24.742,0.087,RETURNING
82.223,5.102,95.831,71.896,82.381,6786.689,23.934,0.291,BENDING
79.53,5.473,96.94,67.673,79.718,6354.971,29.267,0.26,BENDING
27.459,3.284,34.148,21.063,27.654,764.77,13.085,0.228,STRAIGHT
50.044,1.999,55.591,46.702,50.084,2508.421,8.889,0.134,RETURNING
49.158,5.769,63.099,36.08,49.496,2449.823,27.019,0.197,RETURNING
29.433,2.063,35.181,24.886,29.505,870.57,10.295,0.181,STRAIGHT
27.381,4.119,35.543,18.738,27.689,766.693,16.805,0.087,STRAIGHT
89.359,8.326,106.166,74.81,89.746,8054.289,31.355,0.087,BENDING
47.313,5.067,61.86,36.767,47.583,2264.179,25.093,0.252,RETURNING
84.527,6.978,98.555,67.837,84.815,7193.522,30.718,0.118,BENDING
58.237,3.962,65.973,47.581,58.372,3407.262,18.392,0.276,RETURNING
27.541,2.901,33.108,21.051,27.693,766.897,12.057,0.252,STRAIGHT
95.951,5.036,107.507,81.603,96.083,9231.882,25.903,0.331,BENDING
26.125,5.765,36.565,16.396,26.754,715.779,20.169,0.063,STRAIGHT
42.997,3.855,52.603,34.722,43.169,1863.572,17.881,0.268,RETURNING
24.432,2.914,31.019,17.396,24.605,605.407,13.622,0.197,STRAIGHT
84.011,7.087,98.796,69.933,84.309,7108.066,28.863,0.307,BENDING
58.761,4.722,69.81,49.352,58.95,3475.13,20.458,0.205,RETURNING
51.838,6.781,68.344,34.976,52.279,2733.144,33.368,0.181,RETURNING
77.168,4.68,92.918,67.247,77.31,5976.789,25.671,0.307,BENDING
66.208,4.722,78.134,55.463,66.377,4405.845,22.671,0.291,RETURNING
83.72,5.394,99.207,72.668,83.893,7038.095,26.54,0.299,BENDING
30.325,4.766,42.91,20.898,30.697,942.297,22.012,0.213,STRAIGHT
45.771,5.204,55.658,34.839,46.066,2122.041,20.819,0.118,RETURNING
65.737,4.115,74.522,59.641,65.866,4338.335,14.88,0.094,RETURNING
28.376,4.934,36.499,20.042,28.801,829.526,16.458,0.016,STRAIGHT
43.268,5.811,54.11,29.347,43.657,1905.924,24.763,0.142,RETURNING
16.993,4.518,25.964,10.476,17.583,309.156,15.489,0.047,STRAIGHT
80.393,5.752,92.263,67.527,80.598,6496.049,24.736,0.276,BENDING
28.466,3.72,36.313,20.827,28.708,824.16,15.486,0.244,STRAIGHT
25.755,4.621,37.128,16.566,26.166,684.666,20.562,0.291,STRAIGHT
53.588,5.483,65.023,39.179,53.868,2901.729,25.843,0.26,RETURNING
77.105,7.386,93.104,62.802,77.458,5999.778,30.302,0.15,BENDING
60.344,4.033,69.026,49.702,60.478,3657.638,19.324,0.213,BENDING
30.171,4.538,40.496,21.507,30.51,930.875,18.99,0.15,STRAIGHT
97.446,4.321,105.692,84.988,97.542,9514.4,20.704,0.346,BENDING
21.957,2.283,27.724,15.463,22.075,487.306,12.262,0.346,STRAIGHT
79.042,6.077,90.173,67.932,79.275,6284.522,22.241,0.094,BENDING
28.535,3.334,36.067,21.071,28.729,825.352,14.996,0.386,STRAIGHT
24.704,3.448,33.543,15.19,24.943,622.154,18.354,0.346,STRAIGHT
64.663,4.958,76.4,55.528,64.853,4205.924,20.873,0.181,BENDING
35.261,5.27,45.696,23.427,35.652,1271.091,22.269,0.118,STRAIGHT
73.385,7.751,86.501,60.785,73.793,5445.396,25.716,0.031,BENDING
80.91,5.446,93.346,68.624,81.093,6576.073,24.722,0.228,BENDING
56.384,5.723,67.992,43.218,56.673,3211.852,24.774,0.228,RETURNING
26.149,3.0,33.563,19.454,26.32,692.747,14.109,0.354,STRAIGHT
98.922,8.682,116.401,83.994,99.302,9860.852,32.407,0.087,BENDING
55.885,4.564,67.319,46.173,56.071,3143.963,21.147,0.331,RETURNING
64.495,9.105,81.241,45.622,65.135,4242.508,35.62,0.079,BENDING
43.584,6.184,62.257,29.149,44.021,1937.806,33.107,0.268,RETURNING
74.265,4.559,84.053,62.941,74.405,5536.061,21.111,0.307,BENDING
7.541,2.013,12.845,2.603,7.805,60.918,10.242,0.268,STRAIGHT
24.232,2.309,29.034,18.776,24.342,592.536,10.258,0.37,STRAIGHT
42.015,2.196,46.055,38.84,42.073,1770.108,7.215,0.055,STRAIGHT
29.269,4.227,37.182,18.494,29.572,874.532,18.688,0.228,STRAIGHT
70.832,5.533,84.518,59.041,71.048,5047.821,25.478,0.268,BENDING
50.868,5.943,69.01,37.264,51.214,2622.844,31.746,0.26,RETURNING
72.492,6.446,82.882,53.253,72.778,5296.688,29.629,0.126,BENDING
51.441,4.056,64.032,41.934,51.601,2662.653,22.098,0.331,RETURNING
77.281,7.834,94.723,57.976,77.677,6033.789,36.747,0.165,BENDING
18.139,3.546,29.402,8.354,18.482,341.584,21.048,0.339,STRAIGHT
40.295,4.773,49.1,29.567,40.577,1646.487,19.533,0.291,RETURNING
81.191,5.9,94.211,67.785,81.405,6626.728,26.426,0.126,BENDING
30.138,2.213,35.638,25.344,30.219,913.169,10.294,0.299,STRAIGHT
62.833,8.913,82.29,41.922,63.462,4027.398,40.369,0.134,BENDING
62.227,5.532,76.867,47.828,62.473,3902.815,29.039,0.283,RETURNING
56.333,4.692,68.235,48.016,56.528,3195.405,20.219,0.142,RETURNING
32.868,2.786,40.694,25.933,32.986,1088.062,14.761,0.535,STRAIGHT
58.642,3.629,67.024,51.827,58.755,3452.105,15.197,0.134,RETURNING
84.384,4.191,95.922,75.029,84.488,7138.203,20.893,0.26,BENDING
46.706,5.361,55.822,31.963,47.012,2210.173,23.859,0.173,RETURNING
75.982,5.95,95.565,60.676,76.215,5808.692,34.889,0.323,BENDING
63.626,4.038,72.328,54.32,63.754,4064.585,18.008,0.205,RETURNING
53.984,4.598,61.834,43.752,54.18,2935.428,18.082,0.134,RETURNING
57.953,3.789,67.903,49.673,58.076,3372.869,18.23,0.268,RETURNING
90.082,6.976,105.603,75.907,90.352,8163.444,29.696,0.181,BENDING
83.526,8.012,101.417,65.897,83.909,7040.769,35.52,0.142,BENDING
75.887,5.517,88.842,61.792,76.088,5789.338,27.049,0.291,BENDING
23.836,3.529,32.087,15.079,24.096,580.611,17.008,0.165,STRAIGHT
22.065,2.628,28.462,15.036,22.22,493.749,13.426,0.528,STRAIGHT
49.416,3.866,62.305,40.988,49.567,2456.918,21.317,0.299,RETURNING
30.176,5.602,43.168,17.997,30.691,941.967,25.171,0.102,STRAIGHT
20.481,2.722,27.432,13.444,20.661,426.881,13.988,0.307,STRAIGHT
54.705,3.562,63.553,48.442,54.821,3005.33,15.111,0.157,RETURNING
32.947,3.132,38.008,26.467,33.095,1095.292,11.541,0.118,STRAIGHT
42.007,5.985,53.629,25.86,42.431,1800.383,27.769,0.268,RETURNING
55.383,5.032,69.936,43.401,55.611,3092.632,26.536,0.236,RETURNING
73.414,8.275,90.468,59.497,73.879,5458.143,30.971,0.087,BENDING
55.586,5.981,67.508,41.569,55.906,3125.528,25.939,0.165,RETURNING
82.605,6.831,99.865,70.49,82.887,6870.331,29.375,0.189,BENDING
19.805,4.433,30.07,7.85,20.295,411.874,22.22,0.197,STRAIGHT
21.689,2.918,28.558,12.086,21.884,478.921,16.471,0.409,STRAIGHT
93.109,6.435,109.159,75.89,93.331,8710.739,33.269,0.26,BENDING
65.173,6.086,78.279,55.889,65.456,4284.537,22.389,0.079,BENDING
78.094,4.808,88.339,64.555,78.242,6121.82,23.784,0.299,BENDING
26.288,2.088,31.126,20.131,26.371,695.416,10.995,0.512,STRAIGHT
25.841,3.854,36.089,19.433,26.127,682.61,16.656,0.205,STRAIGHT
83.368,4.561,95.215,68.543,83.493,6971.09,26.672,0.409,BENDING
72.948,5.33,86.936,59.054,73.143,5349.844,27.882,0.268,BENDING
27.458,1.702,31.523,23.843,27.511,756.859,7.68,0.236,STRAIGHT
49.952,7.488,66.118,36.119,50.511,2551.319,30.0,0.118,RETURNING
64.224,5.312,74.789,50.652,64.443,4152.889,24.138,0.181,RETURNING
50.22,3.991,60.263,40.243,50.378,2537.935,20.02,0.299,RETURNING
31.619,2.113,36.632,26.906,31.689,1004.2,9.726,0.283,STRAIGHT
59.489,5.134,70.76,47.204,59.71,3565.255,23.556,0.299,RETURNING
22.37,2.848,28.573,17.12,22.55,508.509,11.453,0.157,STRAIGHT
59.653,4.033,68.555,48.81,59.789,3574.728,19.746,0.291,RETURNING
44.808,4.708,56.659,35.365,45.054,2029.908,21.294,0.228,RETURNING
31.547,3.266,37.442,23.529,31.715,1005.869,13.913,0.173,STRAIGHT
55.394,2.802,62.116,49.909,55.464,3076.304,12.207,0.173,RETURNING
78.677,5.107,93.376,65.869,78.843,6216.216,27.507,0.331,BENDING
90.365,6.33,104.04,75.372,90.587,8205.964,28.668,0.142,BENDING
79.208,5.222,90.892,65.226,79.38,6301.141,25.666,0.307,BENDING
79.947,6.287,90.944,64.33,80.194,6431.047,26.614,0.197,BENDING
47.587,5.06,59.775,35.861,47.855,2290.136,23.914,0.197,RETURNING
24.411,4.285,35.459,15.681,24.784,614.269,19.778,0.441,STRAIGHT
31.316,3.486,40.32,24.032,31.509,992.828,16.288,0.118,STRAIGHT
84.785,7.396,99.689,69.119,85.107,7243.167,30.57,0.157,BENDING
56.256,4.488,66.24,47.706,56.435,3184.869,18.534,0.22,RETURNING
31.912,2.045,36.366,26.753,31.977,1022.541,9.613,0.449,STRAIGHT
26.454,3.941,34.81,16.588,26.746,715.325,18.222,0.283,STRAIGHT
56.138,5.128,69.211,42.93,56.372,3177.823,26.281,0.299,RETURNING
39.513,3.097,47.746,30.657,39.634,1570.89,17.089,0.197,STRAIGHT
21.489,3.626,28.455,15.342,21.793,474.932,13.113,0.063,STRAIGHT
47.278,3.442,55.291,38.643,47.403,2247.037,16.647,0.228,RETURNING
38.494,3.43,45.203,31.023,38.646,1493.54,14.18,0.063,STRAIGHT
81.532,5.607,93.786,69.053,81.724,6678.87,24.733,0.315,BENDING
23.522,1.983,27.161,19.345,23.606,557.231,7.816,0.268,STRAIGHT
87.412,8.23,102.949,67.976,87.799,7708.619,34.972,0.087,BENDING
75.927,8.231,95.381,58.135,76.372,5832.681,37.246,0.331,BENDING
96.478,6.174,110.606,84.268,96.675,9346.076,26.338,0.197,BENDING
67.102,7.81,85.992,51.343,67.555,4563.618,34.649,0.142,BENDING
21.417,3.767,28.392,15.0,21.745,472.854,13.391,0.047,STRAIGHT
76.768,6.164,90.958,65.503,77.016,5931.395,25.455,0.118,BENDING
90.537,7.738,108.113,73.064,90.867,8256.811,35.049,0.142,BENDING
81.897,8.321,100.532,62.727,82.319,6776.383,37.805,0.126,BENDING
77.881,7.635,91.2,62.312,78.255,6123.808,28.888,0.15,BENDING
29.852,3.965,39.262,19.399,30.114,906.876,19.863,0.402,STRAIGHT
32.124,3.545,40.49,24.457,32.319,1044.521,16.033,0.276,STRAIGHT
80.713,7.169,95.937,67.668,81.031,6565.964,28.269,0.142,BENDING
58.228,4.755,67.411,50.605,58.422,3413.117,16.805,0.063,RETURNING
85.958,7.615,106.158,70.784,86.295,7446.846,35.373,0.213,BENDING
85.477,4.149,95.381,75.472,85.578,7323.577,19.909,0.37,BENDING
39.197,5.593,48.905,27.553,39.594,1567.69,21.352,0.063,RETURNING
68.551,6.858,87.244,56.315,68.893,4746.243,30.929,0.276,BENDING
81.02,7.573,98.753,60.938,81.373,6621.562,37.815,0.331,BENDING
79.656,7.321,95.032,65.283,79.992,6398.737,29.749,0.189,BENDING
81.507,7.448,98.669,66.893,81.847,6698.857,31.776,0.228,BENDING
65.585,5.861,81.533,52.132,65.846,4335.692,29.401,0.213,BENDING
89.932,4.064,98.93,80.828,90.024,8104.289,18.101,0.276,BENDING
43.197,5.858,55.437,30.289,43.593,1900.338,25.147,0.126,RETURNING
49.631,4.647,61.349,37.018,49.848,2484.839,24.332,0.283,RETURNING
79.219,6.474,91.165,64.884,79.483,6317.504,26.281,0.071,BENDING
51.733,5.007,63.864,41.664,51.975,2701.42,22.2,0.228,RETURNING
97.521,6.21,112.806,83.416,97.718,9548.829,29.389,0.409,BENDING
50.891,3.452,60.374,42.563,51.008,2601.842,17.811,0.228,RETURNING
57.783,3.172,64.247,47.778,57.87,3348.927,16.47,0.307,RETURNING
33.823,2.277,40.26,27.889,33.9,1149.187,12.371,0.378,STRAIGHT
32.181,3.074,38.753,24.364,32.327,1045.043,14.389,0.228,STRAIGHT
66.272,4.642,75.86,56.995,66.435,4413.547,18.866,0.22,RETURNING
27.094,2.888,34.166,20.67,27.248,742.449,13.496,0.299,STRAIGHT
28.499,2.11,33.519,23.516,28.577,816.662,10.002,0.252,STRAIGHT
92.221,6.387,104.793,73.067,92.442,8545.473,31.726,0.236,BENDING
47.349,5.595,62.174,33.231,47.678,2273.194,28.943,0.181,RETURNING
84.363,4.327,95.351,72.28,84.474,7135.9,23.072,0.307,BENDING
21.833,2.115,26.379,17.595,21.935,481.143,8.785,0.11,STRAIGHT
29.505,2.816,36.176,21.158,29.639,878.463,15.018,0.465,STRAIGHT
19.914,3.91,28.152,10.989,20.294,411.857,17.164,0.181,STRAIGHT
78.532,6.14,91.4,65.166,78.772,6204.999,26.234,0.22,BENDING
50.913,7.1,64.908,37.359,51.405,2642.501,27.549,0.165,RETURNING
71.809,5.166,82.562,58.868,71.995,5183.214,23.693,0.205,BENDING
41.431,4.368,54.128,29.774,41.661,1735.641,24.354,0.402,RETURNING
46.69,6.07,58.298,33.729,47.083,2216.78,24.568,0.165,RETURNING
38.863,3.878,46.916,29.225,39.056,1525.347,17.691,0.213,RETURNING
61.864,7.204,80.086,43.547,62.282,3879.037,36.539,0.323,BENDING
22.694,4.048,31.131,15.249,23.052,531.405,15.882,0.063,STRAIGHT
82.949,4.11,92.725,72.295,83.051,6897.479,20.43,0.339,BENDING
65.939,5.767,79.128,51.247,66.19,4381.15,27.881,0.354,BENDING
70.423,6.339,83.59,56.997,70.708,4999.65,26.592,0.15,BENDING
77.775,6.676,91.984,65.518,78.061,6093.59,26.466,0.189,BENDING
74.586,4.056,85.565,66.531,74.696,5579.48,19.034,0.165,BENDING
78.204,4.632,91.942,69.387,78.341,6137.249,22.555,0.236,BENDING
54.258,6.269,70.596,42.916,54.619,2983.276,27.68,0.102,RETURNING
27.299,3.109,35.52,19.599,27.475,754.885,15.92,0.331,STRAIGHT
28.789,2.577,34.373,22.702,28.904,835.465,11.671,0.48,STRAIGHT
52.963,2.243,58.097,46.209,53.011,2810.137,11.887,0.346,RETURNING
44.285,6.123,57.636,33.664,44.706,1998.652,23.972,0.118,RETURNING
41.713,6.103,54.885,30.443,42.157,1777.214,24.442,0.157,RETURNING
47.822,5.272,58.714,39.217,48.112,2314.726,19.497,0.087,RETURNING
87.766,5.705,98.876,77.792,87.951,7735.446,21.083,0.079,BENDING
89.928,5.977,103.773,75.719,90.127,8122.824,28.054,0.299,BENDING
49.678,2.466,56.24,42.961,49.739,2473.939,13.278,0.331,RETURNING
65.543,6.666,79.822,47.323,65.881,4340.37,32.499,0.417,BENDING
81.95,7.595,100.447,65.161,82.301,6773.468,35.286,0.173,BENDING
36.756,4.83,48.564,28.418,37.072,1374.32,20.146,0.047,RETURNING
30.615,3.831,39.646,20.623,30.854,951.973,19.023,0.402,STRAIGHT
79.987,6.433,94.397,63.607,80.246,6439.341,30.79,0.228,BENDING
56.579,4.548,65.317,46.306,56.762,3221.892,19.01,0.063,RETURNING
41.378,4.601,53.821,31.423,41.633,1733.31,22.398,0.37,RETURNING
54.99,4.985,67.018,44.719,55.215,3048.723,22.298,0.276,BENDING
17.833,3.1,24.44,9.349,18.101,327.641,15.092,0.189,STRAIGHT
35.654,3.01,43.379,27.101,35.781,1280.263,16.279,0.394,STRAIGHT
34.757,1.94,41.096,29.598,34.811,1211.786,11.498,0.504,STRAIGHT
43.554,5.384,55.94,29.882,43.885,1925.916,26.058,0.276,RETURNING
29.461,2.959,36.138,23.768,29.609,876.706,12.37,0.276,STRAIGHT
79.789,6.611,94.53,64.915,80.062,6409.989,29.615,0.197,BENDING
56.256,3.538,63.593,46.705,56.367,3177.242,16.888,0.283,RETURNING
44.667,5.503,56.726,32.196,45.005,2025.46,24.53,0.283,RETURNING
83.369,6.264,99.667,70.227,83.604,6989.702,29.439,0.323,BENDING
78.681,7.321,94.685,61.691,79.021,6244.284,32.994,0.118,BENDING
94.253,4.97,105.328,77.696,94.384,8908.258,27.633,0.244,BENDING
47.786,4.974,56.255,38.486,48.044,2308.197,17.769,0.11,RETURNING
64.255,5.119,76.278,56.399,64.458,4154.893,19.879,0.11,RETURNING
79.166,5.537,93.037,67.702,79.359,6297.886,25.336,0.276,BENDING
28.002,2.772,33.738,21.068,28.139,791.786,12.67,0.26,STRAIGHT
51.771,3.75,62.783,43.578,51.907,2694.345,19.205,0.299,RETURNING
85.917,5.156,98.652,76.023,86.072,7408.395,22.629,0.252,BENDING
25.181,3.542,32.394,15.522,25.429,646.654,16.872,0.236,STRAIGHT
75.295,4.716,85.479,66.589,75.443,5691.609,18.89,0.197,BENDING
45.179,4.043,57.551,33.178,45.359,2057.452,24.373,0.354,RETURNING
85.846,7.47,102.863,69.302,86.17,7425.275,33.561,0.094,BENDING
49.212,5.638,62.426,38.009,49.534,2453.638,24.417,0.37,RETURNING
52.509,4.002,64.51,41.885,52.661,2773.224,22.625,0.299,BENDING
15.47,2.754,22.771,9.596,15.713,246.905,13.175,0.409,STRAIGHT
47.942,3.988,56.841,35.831,48.107,2314.329,21.01,0.362,RETURNING
27.581,2.435,33.677,22.9,27.688,766.629,10.778,0.228,STRAIGHT
74.816,5.804,90.65,59.463,75.041,5631.103,31.187,0.425,BENDING
46.48,5.736,61.266,33.586,46.832,2193.254,27.68,0.11,RETURNING
56.701,4.182,66.751,48.8,56.855,3232.531,17.952,0.433,RETURNING
53.064,4.524,62.119,42.711,53.256,2836.25,19.408,0.165,RETURNING
31.153,2.094,36.424,26.442,31.224,974.917,9.982,0.181,STRAIGHT
67.677,6.864,78.685,52.105,68.024,4627.222,26.579,0.094,RETURNING
45.093,3.885,54.355,36.67,45.26,2048.5,17.685,0.276,RETURNING
67.956,4.736,75.87,56.593,68.121,4640.422,19.277,0.165,BENDING
72.242,8.584,90.714,48.776,72.75,5292.559,41.937,0.205,BENDING
24.916,3.286,33.519,16.872,25.132,631.606,16.647,0.228,STRAIGHT
56.993,4.441,66.492,44.987,57.166,3267.935,21.504,0.213,RETURNING
74.516,5.762,88.165,60.278,74.739,5585.846,27.887,0.181,BENDING
60.182,6.956,73.384,47.62,60.582,3670.208,25.765,0.118,RETURNING
54.229,5.663,65.074,44.414,54.524,2972.902,20.66,0.031,RETURNING
82.063,8.16,100.932,61.927,82.468,6800.964,39.005,0.173,BENDING
73.47,4.798,86.644,64.242,73.627,5420.899,22.402,0.441,BENDING
32.371,1.501,36.057,29.193,32.406,1050.131,6.864,0.394,STRAIGHT
81.787,5.571,93.509,70.651,81.977,6720.167,22.858,0.11,BENDING
61.796,4.213,72.967,52.491,61.939,3836.49,20.476,0.48,BENDING
62.534,5.325,74.022,50.996,62.761,3938.898,23.026,0.118,BENDING
33.854,4.213,43.324,24.994,34.115,1163.847,18.33,0.315,STRAIGHT
80.323,5.605,91.661,68.678,80.519,6483.259,22.984,0.213,BENDING
88.469,5.655,100.61,76.66,88.65,7858.828,23.949,0.173,BENDING
76.882,3.71,87.266,67.409,76.971,5924.548,19.856,0.378,BENDING
